No,job no,spare parts,Ex.cost,Labor,Total
49,594,8500,,,8500
50,595,71000,,,71000
51,596,3200,,,3200
52,598,9300,,3200,12500
53,599,,,1650,1650
54,600,8400,,,8400
55,601,9509.76,,1200,10709.76
56,602,4650,,1800,6450
57,603,19600,1500,3850,24950
58,604,4250,7300,,11550
59,605,,60000,,60000
60,606,48750,,,48750
61,607,,6500,7400,13900
62,609,46267.8,,800,47067.8
63,610,6500,,600,7100
64,611,31500,6000,,37500
65,614,11856,,2400,14256
66,615,28653.76,,,28653.76
67,616,19000,,,19000
68,617,4100,,4400,8500
69,620,8102,6500,4800,19402
70,621,21366.66,43950,8300,73616.66
71,622,7986,,16600,24586
72,623,35000,,,35000
73,626,6400,110000,,116400
74,627,,23800,4650,28450
75,630,,34000,,34000
76,631,1158.5,,3800,4958.5
77,632,,8300,,8300
78,633,34000,,,34000
79,635,1100,,3300,4400
80,636,18700,3500,6700,28900
81,642,,9901.31,,9901.31
82,643,18900,,,18900
83,644,,5000,,5000
84,648,19765,,7250,27015
,,2774401.8899999997,617466.81,360825,3752693.6999999997
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
