id,issueDate,issueDateISO,vehicleMachinery,itemName,itemDesc,qty,category,issuedTo,issuedBy,mrnNum,purchaseSource,notes,createdAt,updatedAt
106,2026-06-07,2026-06-07,Batticoloa Site,Coolent,,8.0,General Items,Upul,Priyankara,140610,,,2026-06-08T09:26:34.144Z,2026-06-08T09:26:34.144Z
107,2026-06-07,2026-06-07,Batticoloa Site,HD-68 Oil,,200.0,Oil & Lubricants,Upul,Priyankara,140610,,,2026-06-08T09:27:02.249Z,2026-06-08T09:27:02.249Z
108,2026-06-06,2026-06-06,41-7225,Uphosting Lock,,20.0,General Items,Nawathilaka,Priyankara,166983,,,2026-06-08T09:28:34.614Z,2026-06-08T09:28:34.614Z
111,2026-06-11,2026-06-11,PH-9072,Brake Liner Set,,2.0,General Items,Mr Indika,Bandula,166163,,,2026-06-13T02:59:42.878Z,2026-06-13T02:59:42.878Z
112,2026-06-13,2026-06-13,PD-7049,CV Boot,,2.0,General Items,Ruwan,Bandula,166176,,,2026-06-13T03:00:35.797Z,2026-06-13T03:00:35.797Z
113,2026-06-13,2026-06-13,Lathe Shop,Center Bit,,1.0,General Items,Seetha,Bandula,166161,,,2026-06-13T03:01:16.119Z,2026-06-13T03:01:16.119Z
114,2026-06-13,2026-06-13,Lade Machine Shop,Grinding Stone (Rough),,10.0,General Items,Seetha,Bandula,166988,,,2026-06-13T03:01:42.193Z,2026-06-13T03:01:42.193Z
115,2026-06-10,2026-06-10,LX-1679,Bearing (HM212049),,1.0,Bearings & Seals,Gayan,Bandula,166164,,,2026-06-13T03:02:47.399Z,2026-06-13T03:02:47.399Z
116,2026-06-11,2026-06-11,LN-8277,Head light set,,1.0,Electrical,Nawathilaka,Bandula,166866,,,2026-06-13T03:03:35.832Z,2026-06-13T03:03:35.832Z
117,2026-06-13,2026-06-13,DAh-2228,Mudguard Cover L/R Fiber,,2.0,General Items,Nawathilaka,Bandula,166987,,,2026-06-13T03:04:13.316Z,2026-06-13T03:04:13.316Z
118,2026-06-11,2026-06-11,HEX-21,Radiator Cleaning,,1.0,General Items,Sanjeewa,Bandula,167159,,,2026-06-13T03:06:06.220Z,2026-06-13T03:06:06.220Z
119,2026-06-12,2026-06-12,HEX-41,AC-Belt (45),Mellawagedara,1.0,Belts,Madushan,Bandula,166979,,,2026-06-13T03:13:11.545Z,2026-06-13T03:13:11.545Z
120,2026-06-11,2026-06-11,HEX-21,"Wiring Sleeving 1/2"" (Wire Casing)",,10.0,Electrical,Charusha,Bandula,166158,,,2026-06-13T03:14:13.709Z,2026-06-13T03:14:13.709Z
121,2026-06-11,2026-06-11,HEX-21,"Wiring Sleeving 3/4"" (Wire Casing)",,10.0,Electrical,Charusha,Bandula,166158,,,2026-06-13T03:16:19.592Z,2026-06-13T03:16:19.592Z
122,2026-06-10,2026-06-10,HEX-33,24V/ Electric Hone Set,,1.0,General Items,Theminda,Bandula,166160,,,2026-06-13T03:17:13.234Z,2026-06-13T03:17:13.234Z
123,2026-06-10,2026-06-10,ASE-21,Bearing,,4.0,Bearings & Seals,Theminda,Bandula,166162,,,2026-06-13T03:18:48.967Z,2026-06-13T03:18:48.967Z
124,2026-06-10,2026-06-10,ASE-21,Belt,,3.0,Belts,Theminda,Bandula,166162,,,2026-06-13T03:21:36.833Z,2026-06-13T03:21:36.833Z
125,2026-06-09,2026-06-09,48-4849,Accelator Sprin,,1.0,General Items,Anura,Bandula,166153,,,2026-06-13T03:22:53.822Z,2026-06-13T03:22:53.822Z
126,2026-06-13,2026-06-13,Batticoloa,Fan Gell,,12.0,General Items,Saliya,Priyankara,166908,,,2026-06-13T03:23:46.271Z,2026-06-13T03:23:46.271Z
127,2026-06-08,2026-06-08,"LB-17, ZB-1546",Multi Jack Seal,,2.0,Bearings & Seals,Dhanushka,Bandula,166992,,,2026-06-13T03:25:19.757Z,2026-06-13T03:25:19.757Z
128,2026-06-13,2026-06-13,HEX-21,Injector Pump,,1.0,General Items,Anura,Bandula,167159,,,2026-06-13T03:39:46.659Z,2026-06-13T03:39:46.659Z
129,2026-06-13,2026-06-13,HEX-21,Injectors,,4.0,General Items,Anura,Bandula,167159,,,2026-06-13T03:40:36.955Z,2026-06-13T03:40:36.955Z
130,2026-05-26,2026-05-26,HEX-41,A/C Repair,,1.0,General Items,,Bandula,141865,,,2026-06-13T04:11:18.672Z,2026-06-13T04:11:18.672Z
131,2026-06-09,2026-06-09,PH-9072,A/C Repair,,1.0,General Items,,Bandula,141867,,,2026-06-13T04:12:01.763Z,2026-06-13T04:12:01.763Z
132,2026-06-07,2026-06-07,59-5421,Spring Leaf Repair,,2.0,General Items,,Bandula,141866,,,2026-06-13T04:12:33.732Z,2026-06-13T04:12:33.732Z
133,2026-06-09,2026-06-09,48-8072,Power Steering Box,,1.0,General Items,,Bandula,141869,,,2026-06-13T04:14:08.003Z,2026-06-13T04:14:08.003Z
134,2026-06-09,2026-06-09,LN-8277,A/C Repair,,1.0,General Items,,Bandula,141868,,,2026-06-13T04:23:57.569Z,2026-06-13T04:23:57.569Z
